"Id","Label"
"61831375","ruggedybaba"
"115628224","omojuwa"
"240295983","bimbobass"
"68650577","yolnizzle"
"47323938","eggheader"
"23377569","ogundamisi"
"20577920","iceprincezamani"
"197180432","blaise9ja"
"84825305","thehorny_of_ife"
"33425765","yveu"
"188539577","asa_official"
"80791048","forumeditor"
"299013563","bbavideoz"
"175757877","atomquietmoney"
"181989356","crazeclown"
"97436688","illwillbeats"
"51666386","tundekakaaki"
"31808336","endi2g"
"52702687","otoide_a_"
"16959340","antitheistangie"
"42288041","chieducc"
"80895799","seuncr8vwox"
"19468168","drgoddess"
"34672963","sirkayoto"
"141887287","aanghova"
"217046870","favstar_pop"
"13451922","justamira"
"37294695","fehintolu"
"68394977","owhreoluwa"
"109509310","don_kazzy"
"171820892","dapoadelanwa_01"
"91205401","enialu"
"34288864","rosanwo"
"4970411","ajenglish"
"159849348","griverorz"
"389672180","miss_dayday"
"39219600","abiodunaopara"
"149294948","gennievieve"
"142997487","9ja_schoolboi"
"34288864","rosanwo"
"186462716","jumurke"
"169510961","fels77"
"36609592","maynezee"
"61831375","ruggedybaba"
"122906950","busy_brain"
"22059388","elrufai"
"37447098","isiomaosaje"
"23584333","toluogunlesi"
"820694","blogdiva"
"69271273","daily_trust"
"124441723","adexcharo"
"155537412","teetooraj"
"61831375","ruggedybaba"
"81556449","ferari90"
"49780532","iamzdon"
"188435132","spikedspartan"
"23377569","ogundamisi"
"62823056","aijayy"
"92253055","pinky_kokolet"
"47323938","eggheader"
"23584333","toluogunlesi"
"217046870","favstar_pop"
"115628224","omojuwa"
"181974921","tgrems"
"15460027","fahadaliyu"
"217046870","favstar_pop"
"108740292","cnnmex"
"34288864","rosanwo"
"61831375","ruggedybaba"
"115628224","omojuwa"
"158697729","qweezard"
"29854019","ayittey"
"80836823","gtdaguitarman"
"30950587","slimtmusic"
"424755665","lydiavalch"
"264151199","its_osuofia"
"61831375","ruggedybaba"
"79449809","abangmercy"
"16632084","cartacapital"
"45224548","eldeethedon"
"17680235","mokhathi"
"40081103","evaalordiah"
"61831375","ruggedybaba"
"25868966","chakams"
"27407057","akinwalexy"
"213873396","damitalkcity"
"128690548","afrolisushekiba"
"57488375","awocelsius"
"60856518","nigeriafilms"
"117173523","justlikethat59"
"61831375","ruggedybaba"
"83121715","damiekay"
"63115813","mcnun"
"23584333","toluogunlesi"
"95328098","callmehighc"
"81451639","hollalaykan"
"15871868","bigbrovar"
"34288864","rosanwo"
"68129457","udedibia"
"61831375","ruggedybaba"
"28550683","bizzjonez"
"96955140","dj_fleau"
"80895799","seuncr8vwox"
"173580066","toronto_rt"
"154632849","tyaliciia"
"115628224","omojuwa"
"92833573","seunfakze"
"622045531","nigerianblogger"
"59710915","tityboi"
"58441398","talk2dele"
"60366604","mofenzo"
