"text","favorited","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","retweeted"
"RT @PeterMillett1: My blog about the World Economic Forum: Waffling at the #WEF. Open debates and networking on policy and business.  http:…",FALSE,NA,2013-05-29 12:21:12,FALSE,NA,"339718062431404032",NA,"web","V_Ivarsson",5,FALSE
"“@schwabfound: Next week 21 social entrepreneurs at the #wef oin #myanmar  http://t.co/vcC4156PdD"" Looking forward to participating!",FALSE,"schwabfound",2013-05-29 12:19:18,FALSE,"339715534314676225","339717585673277440","19645791","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarellHammond",1,FALSE
"@pinkun @Grantholt31 don't think he will move to abroad wen he would rather play for Norwich city or Carlisle United #WeF**kinLoveGrantHolt",FALSE,"pinkun",2013-05-29 12:14:23,FALSE,"339713300659068929","339716347225337856","17680851","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jdhog09",0,FALSE
"Next week 21 social entrepreneurs at the #wef oin #myanmar  http://t.co/YSl2usJxis - among the activities a site visit to @ProximityDesign",FALSE,NA,2013-05-29 12:11:09,FALSE,NA,"339715534314676225",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","schwabfound",0,FALSE
"RT @wef: Median income for full-time male worker in US is lower than 40 years ago - @joestiglitz #mena13 #weftransition #WEF",FALSE,NA,2013-05-29 12:01:37,FALSE,NA,"339713134778531840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ProfEconBU",109,FALSE
"RT @AmeerahAltaweeL: سعدت اليوم بالمشاركة في منتدى الإقتصاد العالمي لمناقشة وضع المرأة العربيةالحالي في قطاع الأعمال واقتراح الحلول
#wef ht…",FALSE,NA,2013-05-29 11:31:25,FALSE,NA,"339705534682894337",NA,"<a href=""http://retweet.remal.com"" rel=""nofollow"">Retweetter service#43</a>","HarthiAdnan",96,FALSE
"Next article for @openAwakening comes for the World Economic Forum and takes no prisoners #wef #sorrynotsorry",FALSE,NA,2013-05-29 11:26:00,FALSE,NA,"339704169986416640",NA,"web","MunirAtalla",0,FALSE
"#MasterCard Ups #ATM acceptance in #Myanmar w #KBZBank ahead of #WEF http://t.co/qLI34lE9Uz",FALSE,NA,2013-05-29 11:10:34,FALSE,NA,"339700286820073472",NA,"web","MasterCardNews",1,FALSE
"RT @PeterMillett1: My blog about the World Economic Forum: Waffling at the #WEF. Open debates and networking on policy and business.  http:…",FALSE,NA,2013-05-29 10:59:08,FALSE,NA,"339697411016507392",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","amonck",5,FALSE
"#Jordan: Queen #Rania today took to the stage at the World Economic Forum (#WEF) in Jordan to call for urgent... http://t.co/vUxlxJFDZR",FALSE,NA,2013-05-29 10:54:42,FALSE,NA,"339696293960097794",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","peacefulstuff",0,FALSE
